nodes,area,angles,perimeter,avg_density,avg_entropy,cell_type_diversity,max_distance,min_distance,avg_distance,std_distance,density_dispersion,triangle_inequality_ratio,aspect_ratio
"[0, 1, 2]",2094.0,"[1.0839300081258334, 1.7373386236231925, 0.3203240218407676]",269.8996962146846,100.95280309479266,0.0,1,121.82364302548172,38.897300677553446,89.96656540489487,44.67690302460725,0.11611257667939878,0.8227099547948015,3.131930517116391
"[0, 2, 3]",2248.0,"[0.905456069598586, 1.7443009543757226, 0.4918356296154845]",248.72467925122558,83.89080974316875,0.0,1,109.17875251164944,52.3450093132096,82.9082264170752,28.659012344504994,0.213447562932791,0.7823858070425901,2.085752852929524
"[0, 3, 4]",1835.0,"[1.0384294790032615, 1.5098365277072063, 0.5933266468793252]",211.32045345988107,74.34898781374251,0.0,1,87.20091742636656,48.84669896727925,70.44015115329368,19.62849098254133,0.24359318481618725,0.7025559409343969,1.7851957096380147
"[0, 4, 5]",2180.0,"[1.2988087956590362, 1.0676010032055316, 0.7751828547252256]",218.17074936596114,85.22969428391976,0.0,1,82.76472678623425,60.13318551349163,72.72358312198705,11.529123420675221,0.2101647379920336,0.611233719220299,1.3763569330226975
"[1, 2, 8]",3304.5,"[1.7338095664991768, 0.21179310762562403, 1.1959899794649926]",393.67328139392714,112.59346528779757,0.0,1,182.58422713914803,38.897300677553446,131.22442713130906,80.12630395874781,0.16489518512430992,0.8649630260732208,4.694007654996798
"[2, 3, 7]",1641.0,"[1.831057331004766, 0.5732438659110762, 0.7372914566739511]",210.49259089255526,87.1334357162158,0.0,1,93.26306878931231,52.3450093132096,70.16419696418508,20.96373527204923,0.24685795781088704,0.7955595750631518,1.7816993446551317
"[2, 7, 8]",7391.0,"[1.408391457934673, 0.5639116048704401, 1.16928959078468]",426.06615446984875,109.44046406611098,0.0,1,172.19175357722563,93.26306878931231,142.02205148994958,42.6216533686712,0.17267136164533808,0.6782556767117871,1.8463016048315828
"[3, 4, 6]",1290.5,"[1.3012688226036977, 0.8446351601407538, 0.9956886708453418]",166.6328252276669,63.91691054586767,0.0,1,62.96824596572466,48.84669896727925,55.54427507588897,7.088741738910362,0.01018548105022117,0.6074229636973197,1.2890993106392912
"[3, 6, 7]",1274.5,"[1.2767142056865786, 1.1911695759527203, 0.6737088719504944]",170.1493307208712,77.3923579114754,0.0,1,64.88451279003334,42.2965719651132,56.716443573623735,12.524677342747502,0.308696704679642,0.616393150773931,1.5340371518417848
"[4, 5, 10]",2388.0,"[1.1685355807856759, 0.7225030059236873, 1.25055406688043]",230.1245221075401,77.60010869580633,0.0,1,86.31338250816034,60.13318551349163,76.7081740358467,14.414716581652991,0.21024122231295864,0.600185651463488,1.4353701998507107
"[4, 6, 10]",1828.5,"[1.5063519186978, 0.7125236405627768, 0.9227170943292163]",205.34641403398416,66.95369111464449,0.0,1,83.67795408588812,54.81788029466298,68.44880467799472,14.49626528560344,0.07006377783578979,0.6877538691751771,1.526471903621471
"[5, 10, 14]",4176.5,"[1.9080522841871443, 0.5558805659735646, 0.6776598034290844]",343.2192985298314,86.11175315465896,0.0,1,154.35349040433132,86.31338250816034,114.40643284327713,35.535224582308174,0.14235723695303942,0.8172654009547585,1.7882915246629136
"[6, 7, 12]",1611.5,"[1.7536515913468629, 0.454211055020235, 0.9337300072226954]",214.58302163858326,87.09420290456681,0.0,1,94.79451460923254,42.2965719651132,71.52767387952775,26.75234202973428,0.2412544204704719,0.7913489946577752,2.241186701546886
"[6, 10, 11]",1261.5,"[1.1326730385198365, 1.354268705271225, 0.6546509097987319]",170.5117804910294,66.0575787343244,0.0,1,66.85057965343307,41.67733196834941,56.83726016367647,13.352482377065053,0.08411984829826703,0.6448948990873293,1.6040033393740447
"[6, 11, 12]",2573.0,"[1.3777394590503464, 0.69675008890642, 1.067103105633027]",241.37152740870587,72.72264315863899,0.0,1,94.79451460923254,61.98386886924694,80.45717580290196,16.79179242163836,0.2342308406638662,0.6467215615788096,1.5293416874186838
"[7, 8, 64]",3064.0,"[1.2811969854671315, 1.6101037462353027, 0.2502919218873586]",354.4655925878086,101.75921123922207,0.0,1,160.61133210331082,39.81205847478876,118.15519752926953,67.92660704929216,0.2962715774428579,0.8285158742546938,4.0342383251802705
"[7, 9, 12]",4274.5,"[0.5721403990913547, 1.6818130108130935, 0.8876392436853452]",330.7391897319731,93.83150489640518,0.0,1,142.24275025462634,77.4919350642375,110.24639657732438,32.38206390230526,0.11173657107267028,0.7546177033849006,1.835581343228985
"[7, 9, 64]",2378.0,"[1.8092339533782706, 1.1135610497499728, 0.2187976504615499]",330.69425333250587,86.42377377018067,0.0,1,154.042202009709,34.40930106817051,110.23141777750196,65.92838388844929,0.20285971326624574,0.8720091323945466,4.476760562631771
