nodes,area,angles,perimeter,avg_density,avg_entropy,cell_type_diversity,max_distance,min_distance,avg_distance,std_distance,density_dispersion,triangle_inequality_ratio,aspect_ratio
"[0, 14, 1008]",1582.0,"[0.9910070909141002, 1.1311973048341142, 1.0193882578415787]",181.65377282360157,51.514013371916406,0.6426436458133384,2,63.38769596696192,58.60034129593445,60.55125760786719,2.5135240517169533,0.2883951586010657,0.535975299525658,1.081694996396883
"[0, 14, 1126]",675.5,"[1.236662504480368, 1.5411972757709274, 0.3637328733384979]",145.85698751531953,42.40796377043517,0.6742695098049012,1,63.38769596696192,22.56102834535696,48.618995838439844,22.633821274646817,0.20959760169196992,0.7686218079100778,2.8096102268320164
"[0, 15, 1011]",355.0,"[1.0959447048378137, 1.7107209973690143, 0.33492695138296524]",109.3650510281471,40.743925346674956,0.6742695098049012,2,49.04079934095692,16.278820596099706,36.45501700938237,17.650711098096405,0.25166334952960495,0.8129532977094635,3.012552356078349
"[0, 15, 1864]",728.0,"[0.6287962864154331, 1.2120256565243244, 1.300770710650036]",130.3243607989515,46.43743768357799,0.7449933062821025,2,50.47771785649585,30.80584360149873,43.441453599650494,10.966319515868548,0.21954646395214356,0.632183345427239,1.6385760607458277
"[0, 1008, 1009]",1744.0,"[0.9763379499569955, 0.8936824130343503, 1.2715722905984475]",192.73704709226843,57.00877276309421,0.6298954525768199,2,71.84705978674423,58.60034129593445,64.24568236408948,6.836552227459674,0.13365968255654315,0.5943177047836541,1.2260519000036745
"[0, 1009, 1864]",939.0,"[0.49414662343229804, 1.2834480932048669, 1.363997936952628]",156.66434991233976,52.42662118055497,0.7133674422905399,2,63.56886030125127,30.80584360149873,52.22144997077992,18.557484862556013,0.006064410471434922,0.6828350177523494,2.0635325272559193
"[0, 1011, 1126]",776.0,"[1.695151321341658, 0.8176450458327021, 0.628796286415433]",139.46425610322052,42.01732821608734,0.6742695098049012,2,59.90826320300064,35.510561809129406,46.488085367740176,12.38090781253753,0.22172885207996712,0.7530326882870827,1.687054784573947
"[1, 1022, 1023]",155.0,"[1.6030432092301505, 1.0093026635277977, 0.5292467808318448]",63.33080304639073,22.33223352588985,0.5164110736632499,2,26.92582403567252,13.601470508735444,21.110267682130242,6.821649183534085,0.13457439577678199,0.7396192709723889,1.9796259542951335
"[1, 1022, 1031]",187.0,"[0.6216977108935836, 0.9437510732921622, 1.5761438694040473]",67.36498364949693,22.901273803478677,0.5291592668997684,2,28.16025568065745,16.401219466856727,22.45499454983231,5.887259944193212,0.15028337984962986,0.7182872357395171,1.7169610916775524
"[1, 1023, 1063]",252.5,"[0.6283683874257163, 1.0017641450725514, 1.5114601210915253]",77.62023053081609,28.428255698833613,0.5617816552487915,2,31.906112267087632,18.788294228055936,25.873410176938695,6.621930890897882,0.2688471094744462,0.6979487624155558,1.698191005516791
"[1, 1031, 1062]",222.5,"[1.945477527077673, 0.40959210419652703, 0.7865230223155933]",83.88351473455684,27.11482774792969,0.589994493953863,2,38.3275357934736,16.401219466856727,27.961171578185613,11.011781234791123,0.14278192204241666,0.8413283324026894,2.3368711010132603
"[1, 1062, 1063]",343.0,"[0.38600978669487557, 0.8757713533583421, 1.8798115135365758]",104.65528731754839,31.150264015609977,0.589994493953863,2,47.53945729601885,18.788294228055936,34.88509577251613,14.681455629928728,0.20219559687105207,0.8323341756234495,2.5302700031719625
"[2, 298, 299]",167.0,"[1.725245023468628, 0.7735643962942974, 0.6427832338268674]",64.95015730244201,27.166284459350035,0.8404558830680123,2,28.0713376952364,17.029386365926403,21.650052434147337,5.7369717097094455,0.09775120072727783,0.7611777707156239,1.6484057083468089
"[2, 298, 981]",295.5,"[1.2490457723982544, 0.6435011087932843, 1.2490457723982544]",82.61885254718007,31.602237093389288,1.0978857283060737,3,31.38470965295043,19.849433241279208,27.53961751572669,6.6598949414551205,0.28219084626933344,0.6125741132772069,1.5811388300841895
"[2, 299, 300]",349.0,"[0.9762105398776308, 1.0197010755368574, 1.145681038175305]",85.38268786275603,28.750342868051657,0.8404558830680123,2,30.01666203960727,27.29468812791236,28.46089595425201,1.4021776712893328,0.01787871660408896,0.5421494787342526,1.0997254080698338
"[2, 300, 1038]",546.5,"[1.0965921387167339, 0.6409844273793743, 1.4040160874936853]",112.91367887611386,34.56867508070062,1.0465414927090404,3,45.0111097397076,27.29468812791236,37.63789295870462,9.224072877186073,0.2771744620283003,0.6628778603249444,1.6490794666262518
"[2, 981, 1037]",217.0,"[1.0870784204122188, 1.5339466557804036, 0.5205675773971707]",74.80808655367943,37.41186201777381,1.1272646158497646,3,31.38470965295043,15.620499351813308,24.936028851226478,8.2638790949651,0.19082560281327762,0.7227606854413835,2.009200150781808
"[2, 1037, 1038]",547.0,"[1.1466509024815879, 0.6738501532199019, 1.3210915978883033]",111.5848248472554,38.79424159638351,1.0759203802527315,2,43.17406628984581,27.80287754891569,37.1949416157518,8.234347411982469,0.2211261661268247,0.6311005344812043,1.5528632320120979
"[3, 313, 314]",378.0,"[0.6213235994258146, 1.3521273809209546, 1.1681416732430239]",94.24307737679163,33.38337403288714,0.370656484312098,2,37.12142238654117,22.13594362117865,31.414359125597212,8.105989211195078,0.21345536993566366,0.6498660165374596,1.6769749246661934
"[3, 313, 429]",319.5,"[1.0262446186388599, 1.5426347598070043, 0.572713275143929]",89.01079453257645,33.2833968148106,0.3841381145047298,2,37.12142238654117,20.12461179749811,29.67026484419215,8.689826011678411,0.21777718770329155,0.7153954817966999,1.8445783083953007
